License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2212148,"DISTILLER ""A-1""",206,DA,Albany,2,ALBANY,OBOYS DISTILLING LLC,OLIGAN DISTILLING,918 ALBANY SHAKER RD,T/O LATHAM,LATHAM,NY,12110,898292,6/14/2018,6/14/2018,5/31/2021,42.76024,-73.81471,"(42.76024, -73.81471)"
2186745,"DISTILLER ""A-1""",206,DA,Albany,2,ALBANY,"ALBANY DISTILLING COMPANY INC, THE",,78 MONTGOMERY ST,,ALBANY,NY,12207,999999,11/9/2012,11/1/2018,10/31/2021,42.65435984,-73.74728906,"(42.65435984, -73.74728906)"
2200169,FARM BREWER,106,FD,Albany,2,ALBANY,HELDERBERG MOUNTAIN BREWING COMPANY LLC,HELDERBERG MOUNTAIN BREWING COMPANY LLC,141 WARNERS LAKE RD,SUITE 1,E BERNE,NY,12059,919434,9/17/2015,9/1/2019,8/31/2020,42.62974,-74.07867,"(42.62974, -74.07867)"
2214338,FARM BREWER,106,FD,Albany,2,ALBANY,FORT ORANGE BREWING CORPORATION,,450 N PEARL ST,,ALBANY,NY,12204,999999,1/17/2019,1/17/2019,8/31/2019,42.66704,-73.74332,"(42.66704, -73.74332)"
2198632,FARM BREWER,106,FD,Albany,2,ALBANY,INDIAN LADDER FARMSTEAD BREWERY AND CIDERY LLC,INDIAN LADDER FARMS CIDERY & BREWERY,342 ALTAMONT RD,UNIT E,ALTAMONT,NY,12009,908670,10/21/2015,10/1/2018,9/30/2019,42.6537,-73.9759,"(42.6537, -73.9759)"
2206822,FARM BREWER,106,FD,Albany,2,ALBANY,TABLE 41 BREWING COMPANY LLC,TABLE 41 BREWING COMPANY,4 DUNSBACH FERRY RD,GARAGE,COHOES,NY,12047,913640,3/3/2017,3/1/2019,2/29/2020,42.77253,-73.75437,"(42.77253, -73.75437)"
2199318,FARM BREWER,106,FD,Albany,2,ALBANY,HELDERBERG BREWERY INC,THE CARRIAGE HOUSE RESTAURANT,85 STONECROP RD,,RENSSELAERVILLE,NY,12147,910127,12/24/2015,12/1/2018,11/30/2019,42.52348,-74.14606,"(42.52348, -74.14606)"
2200653,FARM BREWER,106,FD,Albany,2,ALBANY,"REAL MCCOY LLC, THE",THE REAL MCCOY BEER CO,20 HALLWOOD RD,UNIT C,DELMAR,NY,12054,909068,11/9/2015,11/1/2018,10/31/2019,42.62341,-73.8318,"(42.62341, -73.8318)"
2213202,"FARM DISTILLER ""D""",207,DD,Albany,2,ALBANY,WINDHAM DISTILLERY LLC,,32 LEARNED ST,,ALBANY,NY,12207,898474,8/3/2018,8/3/2018,12/31/2019,42.66106,-73.74353,"(42.66106, -73.74353)"
2209901,"FARM DISTILLER ""D""",207,DD,Albany,2,ALBANY,OBOYS DISTILLING LLC,OLIGAN DISTILLING,918 ALBANY SHAKER RD,,LATHAM,NY,12110,898006,1/24/2018,3/8/2018,12/31/2020,42.76024,-73.81471,"(42.76024, -73.81471)"
2213969,"FARM DISTILLER ""D""",207,DD,Albany,2,ALBANY,NEW SCOTCH LLC,,78 MONTGOMERY ST,,ALBANY,NY,12207,910707,1/24/2019,1/24/2019,12/31/2021,42.65449,-73.7475,"(42.65449, -73.7475)"
2176085,"FARM DISTILLER ""D""",207,DD,Albany,2,ALBANY,"ALBANY DISTILLING COMPANY INC, THE",,78 MONTGOMERY ST,,ALBANY,NY,12207,999999,3/29/2012,11/1/2018,10/31/2021,42.65438046,-73.74735797,"(42.65438046, -73.74735797)"
2213897,FARM WINERY,302,FW,Albany,2,ALBANY,100 ACRE WOOD VINEYARD LLC,CLOVER POND VINEYARD,100 MARIPOSA LN,,ALTAMONT,NY,12009,910501,11/27/2018,11/27/2018,10/31/2021,42.72486,-73.96396,"(42.72486, -73.96396)"
2145408,FARM WINERY,302,FW,Albany,2,ALBANY,ALTAMONT VINEYARD & WINERY LLC,,3001 FURBECK RD,SCHOHARIE TPKE & SETTLES HILL,ALTAMONT,NY,12009,914858,5/15/2009,5/1/2019,4/30/2022,42.74029275,-74.08018934,"(42.74029275, -74.08018934)"
2000863,MICRO BREWER,101,MI,Albany,2,ALBANY,C H EVANS BREWING CO INC,ALBANY PUMP STATION,19 QUACKENBUSH STREET,AKA 76 MONTGOMERY ST,ALBANY,NY,12207,914545,4/17/2013,5/1/2019,4/30/2020,42.65446067,-73.74843391,"(42.65446067, -73.74843391)"
2206777,MICRO BREWER,101,MI,Albany,2,ALBANY,DRUTHERS BREWING COMPANY II INC,,1053 BROADWAY,,ALBANY,NY,12204,914202,4/20/2017,4/1/2019,3/31/2020,42.66597,-73.74164,"(42.66597, -73.74164)"
2208437,MICRO BREWER,101,MI,Albany,2,ALBANY,FORT ORANGE BREWING CORPORATION,,450 N PEARL ST,,ALBANY,NY,12204,902756,9/5/2017,9/1/2018,8/31/2019,42.66704,-73.74332,"(42.66704, -73.74332)"
2206171,MICRO BREWER,101,MI,Albany,2,ALBANY,PERFECT WORLD BREWING LLC,,1276 BROADWAY,REAR SUITE,ALBANY,NY,12204,913045,1/20/2017,1/31/2019,12/31/2019,42.67491,-73.73666,"(42.67491, -73.73666)"
2208952,RESTAURANT BREWER,210,MR,Albany,2,ALBANY,PHILLY BAR & GRILL LLC,PHILLY BAR & GRILL,622 WATERVLIET SHAKER RD,,LATHAM,NY,12110,897560,11/9/2017,11/9/2017,10/31/2020,42.73711,-73.76745,"(42.73711, -73.76745)"
2212959,WINERY,301,DW,Albany,2,ALBANY,WINDHAM VINEYARDS LLC,WINDHAM VINEYARDS AND WINERY,32 LEARNED ST,,ALBANY,NY,12207,903510,11/5/2018,11/5/2018,8/31/2019,42.66106,-73.74353,"(42.66106, -73.74353)"
2206996,WINERY,301,DW,Albany,2,ALBANY,ROYAL MEADERY LLC,,20 HALLWOOD RD - STE. 2,,DELMAR,NY,12054,895665,4/14/2017,12/1/2017,11/30/2020,42.62356,-73.83186,"(42.62356, -73.83186)"
3161198,FARM BREWER,106,FD,Buffalo,3,ALLEGANY,WELLSVILLE BREWING CO INC,WELLSVILLE BREWING COMPANY,104 N MAIN ST,,WELLSVILLE,NY,14895,918883,8/10/2018,8/1/2019,7/31/2020,42.12163,-77.94717,"(42.12163, -77.94717)"
1312335,FARM BREWER,106,FD,New York City,1,BRONX,TORCH & CROWN 704 BROADWAY LLC,,463 E 173RD ST,,BRONX,NY,10457,999999,12/24/2018,12/24/2018,11/30/2021,40.8418,-73.90156,"(40.8418, -73.90156)"
1271328,FARM BREWER,106,FD,New York City,1,BRONX,FARLO LLC,GUN HILL BREWING COMPANY,3227 LACONIA AVE,,BRONX,NY,10469,99999,10/3/2013,10/1/2018,9/30/2021,40.87213936,-73.85555125,"(40.87213936, -73.85555125)"
1265596,"FARM DISTILLER ""D""",207,DD,New York City,1,BRONX,PORT MORRIS DISTILLERY INC,,780 E 133RD ST,1ST FL,BRONX,NY,10454,885653,11/26/2012,11/1/2016,10/31/2019,40.80089048,-73.91345256,"(40.80089048, -73.91345256)"
1312333,MICRO BREWER,101,MI,New York City,1,BRONX,TORCH & CROWN 704 BROADWAY LLC,,463 E 173RD ST,,BRONX,NY,10457,999999,12/24/2018,12/24/2018,11/30/2021,40.8418,-73.90156,"(40.8418, -73.90156)"
1308776,MICRO BREWER,101,MI,New York City,1,BRONX,FARLO LLC,GUN HILL BREWING COMPANY,3227 LACONIA AVE,,BRONX,NY,10469,9999999,5/9/2018,10/1/2018,9/30/2021,40.87212,-73.85577,"(40.87212, -73.85577)"
1273115,MICRO BREWER,101,MI,New York City,1,BRONX,"BRONX BREWERY LLC, THE",,856 E 136TH ST,,BRONX,NY,10454,909304,1/30/2014,1/1/2019,12/31/2019,40.80224555,-73.91071904,"(40.80224555, -73.91071904)"
2208178,FARM BREWER,106,FD,Albany,2,BROOME,BEER TREE BREW CO LLC,BEER TREE BREW CO,197 STATE RTE 369,,PORT CRANE,NY,13833,999999,9/28/2017,9/1/2019,8/31/2022,42.17151,-75.83039,"(42.17151, -75.83039)"
2199361,"FARM DISTILLER ""D""",207,DD,Albany,2,BROOME,FRENCH DISTILLERS & ALCHEMISTS LLC,,10 WALKER AVE,,LISLE,NY,13797,917543,7/28/2015,5/3/2019,6/30/2022,42.35257,-76.00496,"(42.35257, -76.00496)"
2604659,FARM WINERY,302,FW,Albany,2,BROOME,LONE MAPLE FARM LLC,,2001 HAWLEYTON RD,,BINGHAMTON,NY,13903,887007,12/4/2006,12/1/2016,11/30/2019,42.06973103,-75.92295325,"(42.06973103, -75.92295325)"
2214802,MICRO BREWER,101,MI,Albany,2,BROOME,BEER TREE BREW CO LLC,BEER TREE BREW CO,197 STATE RTE 369,,PORT CRANE,NY,13833,99999,3/20/2019,9/1/2019,8/31/2022,42.1711,-75.83101,"(42.1711, -75.83101)"
2188448,MICRO BREWER,101,MI,Albany,2,BROOME,NORTH BREWERY LLC THE,THE NORTH BREWERY,110 WASHINGTON AVE,,ENDICOTT,NY,13760,911548,1/23/2013,1/1/2019,12/31/2019,42.10225167,-76.04817203,"(42.10225167, -76.04817203)"
2189976,MICRO BREWER,101,MI,Albany,2,BROOME,GALAXY BREWING COMPANY LLC,,41 COURT ST,,BINGHAMTON,NY,13901,919170,7/24/2013,7/1/2019,6/30/2020,42.09870498,-75.91385283,"(42.09870498, -75.91385283)"
2215273,RESTAURANT BREWER,210,MR,Albany,2,BROOME,AB BREWING LLC,WATER STREET BREWING CO,168 WATER ST,,BINGHAMTON,NY,13901,910993,5/10/2019,5/10/2019,4/30/2022,42.09935,-75.91408,"(42.09935, -75.91408)"
2205799,WINERY,301,DW,Albany,2,BROOME,INNOVATIVE BOTTLING INC,,116 BROWN ST,BUILDING 2,JOHNSON CITY,NY,13790,886415,2/16/2017,2/16/2017,1/31/2020,42.11843,-75.96149,"(42.11843, -75.96149)"
3159292,"DISTILLER ""A-1""",206,DA,Buffalo,3,CATTARAUGUS,STILLHOUSE OF BUFFALO LLC,,6600 RTE 219,,ELLICOTTVILLE,NY,14731,894993,10/25/2017,10/25/2017,9/30/2020,42.28596,-78.65914,"(42.28596, -78.65914)"
3162363,"FARM DISTILLER ""D""",207,DD,Buffalo,3,CATTARAUGUS,STILLHOUSE OF BUFFALO LLC,STEELBOUND BREWERY & DISTILLERY,6600 RTE 219,,ELLICOTTVILLE,NY,14731,99999,,5/9/2019,9/30/2020,42.28596,-78.65914,"(42.28596, -78.65914)"
3156645,"FARM DISTILLER ""D""",207,DD,Buffalo,3,CATTARAUGUS,ELLICOTTVILLE DISTILLERY LLC,,5462 ROBBINS RD,,ELLICOTTVILLE,NY,14731,914295,4/12/2016,4/1/2019,3/31/2022,42.31426,-78.61606,"(42.31426, -78.61606)"
3154447,MICRO BREWER,101,MI,Buffalo,3,CATTARAUGUS,S & W COMPANY LLC,ELLICOTTVILLE BREWING CO,28A MONROE ST,,ELLICOTTVILLE,NY,14731,912724,4/1/2014,4/1/2019,3/31/2020,42.2750462,-78.67074524,"(42.2750462, -78.67074524)"
3159294,MICRO BREWER,101,MI,Buffalo,3,CATTARAUGUS,STILLHOUSE OF BUFFALO LLC,,6600 RTE 219,,ELLICOTTVILLE,NY,14731,894994,10/25/2017,10/25/2017,9/30/2020,42.28596,-78.65914,"(42.28596, -78.65914)"
3155872,MICRO BREWER,101,MI,Buffalo,3,CATTARAUGUS,FOUR MILE BREWING LLC,,202 EAST GREEN ST,,OLEAN,NY,14760,914669,5/1/2015,5/1/2019,4/30/2020,42.07316,-78.42746,"(42.07316, -78.42746)"
3160569,MICRO BREWER,101,MI,Buffalo,3,CATTARAUGUS,S&W COMPANY LLC,ELLICOTTVILLE BREWING COMPANY,202 2ND ST,,LITTLE VALLEY,NY,14755,913937,5/17/2018,5/1/2019,4/30/2020,42.2498,-78.79359,"(42.2498, -78.79359)"
3147155,WINERY,301,DW,Buffalo,3,CATTARAUGUS,WINERY OF ELLICOTTVILLE LLC,,14 MONROE ST,,ELLICOTTVILLE,NY,14731,918007,6/1/2010,6/1/2019,5/31/2022,42.27594533,-78.67144075,"(42.27594533, -78.67144075)"
2200073,FARM BREWER,106,FD,Albany,2,CAYUGA,CHAOTIC ALES INC,AURORA ALE & LAGER CO,1891 STATE RTE 90 N,,KING FERRY,NY,13081,918950,7/8/2015,6/14/2019,6/30/2020,0,0,"(0.0, 0.0)"
2208769,FARM BREWER,106,FD,Albany,2,CAYUGA,"SHEPHERDS BREWING COMPANY LLC, THE",THE GOOD SHEPHERDS BREWING COMPANY,132 GENESEE ST,,AUBURN,NY,13021,912713,2/20/2018,2/1/2019,1/31/2020,42.93051,-76.56813,"(42.93051, -76.56813)"
2214198,FARM BREWER,106,FD,Albany,2,CAYUGA,SUMMERHILL BREWING LLC,,14408 STATE RTE 90,,LOCKE,NY,13092,915597,4/12/2019,4/12/2019,3/31/2020,0,0,"(0.0, 0.0)"
2196976,FARM BREWER,106,FD,Albany,2,CAYUGA,LUNKENHEIMER CRAFT BREWING CO LLC,,8920 N SENECA ST,,WEEDSPORT,NY,13166,919340,8/20/2014,8/1/2019,7/31/2020,43.04928,-76.56268,"(43.04928, -76.56268)"
2194601,"FARM DISTILLER ""D""",207,DD,Albany,2,CAYUGA,DILLS RUN VINEYARD INC,DILL'S RUN DISTILLERY,3862 STATE RTE 90,,UNION SPRINGS,NY,13160,887458,1/14/2014,1/1/2017,12/31/2019,42.8043816,-76.70368622,"(42.8043816, -76.70368622)"
2213344,FARM WINERY,302,FW,Albany,2,CAYUGA,HARD PRESSED CIDERY LLC,,8174 GRANT AVE,,WEEDSPORT,NY,13166,849416,12/4/2018,12/4/2018,11/30/2021,43.0134,-76.50709,"(43.0134, -76.50709)"
2216191,FARM WINERY,302,FW,Albany,2,CAYUGA,STERLING CIDERY LLC,,14451 RICHMOND AVE,,FAIR HAVEN,NY,13064,915856,6/28/2019,6/28/2019,5/31/2022,43.31629,-76.70398,"(43.31629, -76.70398)"
2156512,FARM WINERY,302,FW,Albany,2,CAYUGA,JOHN C IZZO,IZZOS WHITE BARN WINERY,6634 CAYUGA ROAD,RT 20 TO NORTH & GENESEE TO SO,CAYUGA,NY,13034,914183,4/14/2010,4/1/2019,3/31/2022,42.93857212,-76.70584455,"(42.93857212, -76.70584455)"
2601808,FARM WINERY,302,FW,Albany,2,CAYUGA,CJS VINEYARDS LLC,CJS VINEYARDS,6900 FOSTERVILLE RD,,AUBURN,NY,13022,918858,7/12/2002,7/1/2019,6/30/2022,42.95150618,-76.67038689,"(42.95150618, -76.67038689)"
2168934,FARM WINERY,302,FW,Albany,2,CAYUGA,ROBERT RAMOND WINTAMUTE & KATHYANN WINTAMUTE,THE APPLE STATION WINERY,5279 CROSS ROAD,,CAYUGA,NY,13034,919617,8/23/2011,8/1/2019,7/31/2022,42.87329271,-76.68317024,"(42.87329271, -76.68317024)"
2129916,FARM WINERY,302,FW,Albany,2,CAYUGA,ROBERT DUSSEAU & STEPHEN C DUSSEAU,CHATEAU DUSSEAU,5292 ERRON HILL RD,,LOCKE,NY,13092,912801,2/3/2006,2/1/2019,1/31/2022,42.6644869,-76.39331171,"(42.6644869, -76.39331171)"
2606949,FARM WINERY,302,FW,Albany,2,CAYUGA,HEART & HANDS WINE COMPANY INC,HEART & HANDS WINE COMPANY INC,4162 STATE ROUTE 90N,FARLEYS POINT RD & CARRS COVE,UNION SPRINGS,NY,13160,914859,5/8/2009,5/1/2019,4/30/2022,42.86764647,-77.2302568,"(42.86764647, -77.2302568)"
2206981,FARM WINERY,302,FW,Albany,2,CAYUGA,BRIGHT LEAF LLC,WILSON FAMILY CELLARS/BRIGHT LEAF VINEYARD,1250 CLEARVIEW RD,,KING FERRY,NY,13081,894792,9/11/2017,9/11/2017,8/31/2020,42.6589,-76.65742,"(42.6589, -76.65742)"
2500915,FARM WINERY,302,FW,Albany,2,CAYUGA,GIANCARELLI BROS WINERY LLC,GIANCARELLI BROTHERS WINERY,10252 SHORTCUT RD,,WEEDSPORT,NY,13166,911507,,2/1/2019,1/31/2022,43.11324711,-76.5348836,"(43.11324711, -76.5348836)"
2500913,FARM WINERY,302,FW,Albany,2,CAYUGA,KING FERRY WINERY INC,TRELEAVEN,658 LAKE ROAD,T/O GENOA,KING FERRY,NY,13081,918778,,7/1/2019,6/30/2022,42.64995364,-76.6355014,"(42.64995364, -76.6355014)"
2202413,MICRO BREWER,101,MI,Albany,2,CAYUGA,SUMMERHILL BREWING LLC,,384 CHAMPLIN RD,,GROTON,NY,13073,902895,9/7/2016,9/1/2018,8/31/2019,42.59086,-76.29685,"(42.59086, -76.29685)"
2216183,MICRO BREWER,101,MI,Albany,2,CAYUGA,PRISON CITY BREWING LLC,PRISON CITY PUB & BREWERY,28 STATE ST,,AUBURN,NY,13021,999999,,7/22/2019,6/30/2022,42.93179,-76.56824,"(42.93179, -76.56824)"
2196544,MICRO BREWER,101,MI,Albany,2,CAYUGA,"SHEPHERDS BREWING COMPANY LLC, THE",THE GOOD SHEPHERDS BREWING COMPANY,31 LOOP RD,STE 1,AUBURN,NY,13021,903035,8/26/2014,8/1/2018,7/31/2019,42.93264,-76.56498,"(42.93264, -76.56498)"
2211480,RESTAURANT BREWER,210,MR,Albany,2,CAYUGA,NEXT CHAPTER BREWING COMPANY INC,NEXT CHAPTER BREWPUB,100 GENESEE ST,STE B,AUBURN,NY,13021,849276,8/6/2018,8/6/2018,7/31/2021,42.9313,-76.56673,"(42.9313, -76.56673)"
2197185,RESTAURANT BREWER,210,MR,Albany,2,CAYUGA,PRISON CITY BREWING LLC,PRISON CITY PUB & BREWERY,28 STATE ST,,AUBURN,NY,13021,895380,12/16/2014,12/1/2017,11/30/2020,42.93199,-76.56849,"(42.93199, -76.56849)"
2195872,WINERY,301,DW,Albany,2,CAYUGA,WEST BAY ESTATES LLC,COLLOCA ESTATE WINERY,14678 W BAY RD,,STERLING,NY,13156,892215,8/12/2014,8/1/2017,7/31/2020,43.3293,-76.72126,"(43.3293, -76.72126)"
2500901,WINERY,301,DW,Albany,2,CAYUGA,LONG POINT WINERY LTD,LONG POINT WINERY,1485 LAKE ROAD,,AURORA,NY,13026,883955,6/17/2010,9/1/2016,8/31/2019,42.71074334,-76.68579399,"(42.71074334, -76.68579399)"
3155356,BREWER,101,D,Buffalo,3,CHAUTAUQUA,SOUTHERN TIER BREWING COMPANY LLC,,2072 STONEMAN CIRCLE,,LAKEWOOD,NY,14750,918827,12/10/2014,7/1/2019,6/30/2020,42.08924,-79.35071,"(42.08924, -79.35071)"
3153383,"DISTILLER ""A-1""",206,DA,Buffalo,3,CHAUTAUQUA,ROBERT MAZZA INC,FIVE & 20 SPIRITS,8398 W RTE 20,,WESTFIELD,NY,14787,919051,7/29/2013,7/1/2019,6/30/2022,42.30823259,-79.60389676,"(42.30823259, -79.60389676)"
3152853,"DISTILLER ""A-1""",206,DA,Buffalo,3,CHAUTAUQUA,SOUTHERN TIER DISTILLING LLC,SOUTHERN TIER DISTILLING COMPANY,2051 A STONEMAN CIRCLE,,LAKEWOOD,NY,14750,912279,1/23/2013,1/1/2019,12/31/2021,42.08723516,-79.35331231,"(42.08723516, -79.35331231)"
3160390,FARM BREWER,106,FD,Buffalo,3,CHAUTAUQUA,BIG INLET BREWING INC,BIG INLET BREWING,6169 ELM FLATS RD,,MAYVILLE,NY,14757,919687,8/15/2018,8/1/2019,7/31/2020,42.26986,-79.47333,"(42.26986, -79.47333)"
3156307,FARM BREWER,106,FD,Buffalo,3,CHAUTAUQUA,STEPHEN R STANFORD,BEMUS BREW HOUSE,5186 ELLERY CENTRALIA RD,,DEWITTVILLE,NY,14728,903063,8/4/2015,8/1/2018,7/31/2019,42.22102,-79.35905,"(42.22102, -79.35905)"
3155203,FARM BREWER,106,FD,Buffalo,3,CHAUTAUQUA,ROBERT MAZZA INC,FIVE & 20 BREWING,8398 W RTE 20,,WESTFIELD,NY,14787,911668,2/25/2015,2/1/2019,1/31/2020,42.30828,-79.60394,"(42.30828, -79.60394)"
3155559,"FARM DISTILLER ""D""",207,DD,Buffalo,3,CHAUTAUQUA,TWENTY NINE ACRE FARM LLC,SPIRITS OF THE BACKROAD,8083 MINTON RD,,WESTFIELD,NY,14787,899969,3/27/2015,5/10/2018,2/29/2020,42.29536,-79.58506,"(42.29536, -79.58506)"
3156656,"FARM DISTILLER ""D""",207,DD,Buffalo,3,CHAUTAUQUA,SOUTHERN TIER DISTILLING LLC,SOUTHERN TIER DISTILLING COMPANY,2051 A STONEMAN CIR,,LAKEWOOD,NY,14750,914802,5/12/2016,5/1/2019,4/30/2022,42.08821,-79.35209,"(42.08821, -79.35209)"
3156655,"FARM DISTILLER ""D""",207,DD,Buffalo,3,CHAUTAUQUA,ENCHANTED MOUNTAIN SPIRITS INC,,137 WATER ST,,JAMESTOWN,NY,14701,914315,4/4/2016,4/1/2019,3/31/2022,42.09561,-79.22873,"(42.09561, -79.22873)"
3153382,"FARM DISTILLER ""D""",207,DD,Buffalo,3,CHAUTAUQUA,ROBERT MAZZA INC,FIVE & 20 SPIRITS,8398 W RTE 20,,WESTFIELD,NY,14787,919052,7/29/2013,7/1/2019,6/30/2022,42.30823259,-79.60389676,"(42.30823259, -79.60389676)"
3136159,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,LIBERTY VINEYARDS LLC,LIBERTY VINEYARDS AND WINERY,2861 ROUTE 20,,SHERIDAN,NY,14135,913941,4/3/2008,4/1/2019,3/31/2022,42.48329586,-79.24692928,"(42.48329586, -79.24692928)"
3150620,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,OLDE CHAUTAUQUA VINEYARDS LLC,TWENTYONE BRIX WINERY,6654 W MAIN RD,,PORTLAND,NY,14769,913412,3/9/2012,3/1/2019,2/28/2022,42.36901049,-79.49021924,"(42.36901049, -79.49021924)"
3000878,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,MERRITT ESTATE WINERY INC,MERRITT ESTATE WINERY,2264 KING ROAD,,FORESTVILLE,NY,14062,884695,,10/1/2016,9/30/2019,42.48489792,-79.20887391,"(42.48489792, -79.20887391)"
3132243,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,K E V INC,QUINCY CELLARS,10606 W MAIN RD,,RIPLEY,NY,14775,914316,4/5/2007,4/1/2019,3/31/2022,42.24897991,-79.74937729,"(42.24897991, -79.74937729)"
3158343,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,CONCORD GRAPE BELT HERITAGE ASSOCIATION INC,GRAPE DISCOVERY CENTER,8305 W MAIN RD,,WESTFIELD,NY,14787,886256,1/6/2017,1/6/2017,12/31/2019,0,0,"(0.0, 0.0)"
3000886,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,JOHNSON ESTATE WINERY LLC,,8419 W MAIN RD,,WESTFIELD,NY,14787,883506,4/4/2002,10/1/2016,9/30/2019,0,0,"(0.0, 0.0)"
3131629,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,ALTON LENOX NOBLE,NOBLE WINERY,8630 HARDSCRABBLE RD,,WESTFIELD,NY,14787,880453,9/22/2006,9/1/2016,8/31/2019,42.29162457,-79.62167479,"(42.29162457, -79.62167479)"
3155315,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,SHERIDAN WINE COMPANY INC,WILLOW CREEK WINERY,2627 CHAPIN RD,,SILVER CREEK,NY,14136,896264,3/4/2015,3/1/2018,2/28/2021,42.5119,-79.23221,"(42.5119, -79.23221)"
3153380,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,ROBERT MAZZA INC,MAZZA CHAUTAUQUA CELLARS,8398 W RTE 20,,WESTFIELD,NY,14787,919050,7/24/2013,7/1/2019,6/30/2022,42.30823259,-79.60389676,"(42.30823259, -79.60389676)"
3159583,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,SPRAGUE VINEYARDS LLC,,778 VERSAILLES RD,,SILVER CREEK,NY,14136,849004,12/13/2017,12/13/2017,11/30/2020,42.51507,-79.11832,"(42.51507, -79.11832)"
3000879,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,DONALD M & ROSALIND R HEINERT,BLUEBERRY SKY FARM WINERY,10243 NE SHERMAN RD,,RIPLEY,NY,14775,915301,,5/8/2019,4/30/2022,42.19483549,-79.7219879,"(42.19483549, -79.7219879)"
3130234,FARM WINERY,302,FW,Buffalo,3,CHAUTAUQUA,SPARKLING PONDS WINERY LLC,,10661 W LAKE ROAD,,RIPLEY,NY,14775,915487,7/10/2006,7/1/2019,6/30/2022,42.2690361,-79.75421839,"(42.2690361, -79.75421839)"
3157312,MICRO BREWER,101,MI,Buffalo,3,CHAUTAUQUA,S&W COMPANY LLC,ELLICOTTVILLE BREWING COMPANY,57 LAKESIDE DR,,BEMUS POINT,NY,14712,914420,5/10/2016,5/1/2019,4/30/2020,42.15955,-79.39325,"(42.15955, -79.39325)"
3162889,MICRO BREWER,101,MI,Buffalo,3,CHAUTAUQUA,K E V INC,7 SINS BREWERY,14 16 N PORTAGE ST,,WESTFIELD,NY,14787,920141,6/25/2019,8/1/2019,7/31/2020,0,0,"(0.0, 0.0)"
3000852,WINERY,301,DW,Buffalo,3,CHAUTAUQUA,"WINE GROUP LLC, THE",,85 BOURNE ST,,WESTFIELD,NY,14787,913237,3/18/1996,3/1/2019,2/28/2022,42.33217303,-79.57930656,"(42.33217303, -79.57930656)"
3153381,WINERY,301,DW,Buffalo,3,CHAUTAUQUA,ROBERT MAZZA INC,MAZZA CHAUTAUQUA CELLARS,8398 WEST ROUTE 20,,WESTFIELD,NY,14787,919053,7/24/2013,7/1/2019,6/30/2022,42.30823259,-79.60389676,"(42.30823259, -79.60389676)"
3000849,WINERY,301,DW,Buffalo,3,CHAUTAUQUA,WOODBURY VINEYARDS INC,WOODBURY VINEYARDS,3230 S ROBERTS RD,,FREDONIA,NY,14063,913354,,2/15/2019,1/31/2022,42.4554027,-79.26934911,"(42.4554027, -79.26934911)"
3159952,FARM BREWER,106,FD,Buffalo,3,CHEMUNG,DB BREWING LLC,DIVERSION BREWING COMPANY,729 WYNCOOP CREEK RD,,CHEMUNG,NY,14825,9999999,1/30/2018,1/30/2018,11/30/2020,42.01776,-76.62234,"(42.01776, -76.62234)"
3157294,FARM BREWER,106,FD,Buffalo,3,CHEMUNG,BRABANT BREWERY LLC,,1543 MAPLE AVE,,ELMIRA,NY,14904,918224,6/6/2016,6/1/2019,5/31/2020,42.06108,-76.78408,"(42.06108, -76.78408)"
3145965,FARM WINERY,302,FW,Buffalo,3,CHEMUNG,AUTUMN STOSCHECK,EVE'S CIDERY,308 BECKHORN HOLLOW ROAD,HICKORY GROVE RD & COOPER HILL,VAN ETTEN,NY,14889,919433,6/14/2010,8/1/2019,7/31/2022,,,
3152024,FARM WINERY,302,FW,Buffalo,3,CHEMUNG,STONEYRIDGE ORCHARD & WINERY LLC,,160 BIXBY RD,,ERIN,NY,14838,919336,7/27/2012,7/1/2019,6/30/2022,42.15932566,-76.66190767,"(42.15932566, -76.66190767)"
3156668,MICRO BREWER,101,MI,Buffalo,3,CHEMUNG,DB BREWING LLC,DIVERSION BREWING COMPANY,729 WYNCOOP CREEK RD,,CHEMUNG,NY,14825,887885,3/15/2016,3/1/2017,11/30/2020,42.01776,-76.62234,"(42.01776, -76.62234)"
3151650,MICRO BREWER,101,MI,Buffalo,3,CHEMUNG,UPSTATE BREWING COMPANY LLC,,3028 LAKE RD,,ELMIRA,NY,14903,914174,4/24/2012,4/1/2019,3/31/2020,42.13318387,-76.81213516,"(42.13318387, -76.81213516)"
