License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1309040,FARM BREWER,106,FD,New York City,1,QUEENS,CHARLIE WORK LLC,EVIL TWIN BREWING,1612 1616 GEORGE ST,,RIDGEWOOD,NY,11385,999999,11/1/2018,11/1/2018,10/31/2021,0,0,"(0.0, 0.0)"
1285110,FARM BREWER,106,FD,New York City,1,QUEENS,ROCKAWAY BREWING COMPANY LLC,,46-01 5TH ST,FL 1,LONG ISLAND CITY,NY,11101,999999,5/7/2015,5/1/2018,4/30/2021,40.74703,-73.95477,"(40.74703, -73.95477)"
1279306,FARM BREWER,106,FD,New York City,1,QUEENS,BIG ALICE BREWING COMPANY LLC,,808 43RD RD,,LONG ISLAND CITY,NY,11101,908902,10/20/2014,10/5/2018,9/30/2019,0,0,"(0.0, 0.0)"
1295450,FARM BREWER,106,FD,New York City,1,QUEENS,BRIDGE AND TUNNEL BREWERY LLC,,1535 DECATUR ST,,RIDGEWOOD,NY,11385,919802,8/3/2016,8/1/2019,7/31/2020,40.69373,-73.90274,"(40.69373, -73.90274)"
1305240,FARM BREWER,106,FD,New York City,1,QUEENS,NARWHAL LLC,FINBACK,76-01 77TH AVE,,GLENDALE,NY,11385,908934,11/8/2017,11/1/2018,10/31/2019,0,0,"(0.0, 0.0)"
1301416,FARM BREWER,106,FD,New York City,1,QUEENS,QB COLLECTIVE LLC,QUEENS BREWERY,15-39 COVERT ST,,RIDGEWOOD,NY,11385,912341,1/31/2018,1/1/2019,12/31/2019,40.69455,-73.9043,"(40.69455, -73.9043)"
1295122,FARM BREWER,106,FD,New York City,1,QUEENS,DSCC VENTURES LLC,FIFTH HAMMER BREWING COMPANY,10-28 10-36 46TH AVE,,LONG ISLAND CITY,NY,11101,912575,3/13/2017,3/1/2019,2/29/2020,0,0,"(0.0, 0.0)"
1297513,FARM BREWER,106,FD,New York City,1,QUEENS,ICONYC BREWING COMPANY LLC,,43-63 11TH ST,,LONG ISLAND CITY,NY,11101,894998,10/19/2016,10/26/2017,9/30/2020,40.75199,-73.92557,"(40.75199, -73.92557)"
1287765,"FARM DISTILLER ""D""",207,DD,New York City,1,QUEENS,ASTORIA DISTILLING COMPANY LLC,ASTORIA DISTILLING COMPANY,31-00 47TH AVE,STE 1150A,LONG ISLAND CITY,NY,11101,888742,2/29/2016,2/28/2017,1/31/2020,40.74302,-73.93577,"(40.74302, -73.93577)"
1272032,MICRO BREWER,101,MI,New York City,1,QUEENS,NARWHAL LLC,FINBACK,76-01 77TH AVE,,GLENDALE,NY,11385,908933,11/21/2013,11/1/2018,10/31/2019,40.70654158,-73.87340502,"(40.70654158, -73.87340502)"
1315935,MICRO BREWER,101,MI,New York City,1,QUEENS,BIG ALICE BREWING COMPANY LLC,,808 43RD RD,,LONG ISLAND CITY,NY,11101,9999999,4/26/2019,4/26/2019,9/30/2019,,,
1264215,MICRO BREWER,101,MI,New York City,1,QUEENS,SINGLECUT BEERSMITHS LLC,,1933 37TH ST,,ASTORIA,NY,11105,912346,12/7/2012,12/28/2018,11/30/2019,40.77808574,-73.90232093,"(40.77808574, -73.90232093)"
1309039,MICRO BREWER,101,MI,New York City,1,QUEENS,CHARLIE WORK LLC,EVIL TWIN BREWING,1612 1616 GEORGE ST,,RIDGEWOOD,NY,11385,999999,11/1/2018,11/1/2018,10/31/2021,0,0,"(0.0, 0.0)"
1263405,MICRO BREWER,101,MI,New York City,1,QUEENS,RICHARD J CASTAGNA,BRIDGE AND TUNNEL BREWERY,61 02 60TH AVE,,MASPETH,NY,11378,919894,9/12/2012,9/1/2019,8/31/2020,40.71685713,-73.90274365,"(40.71685713, -73.90274365)"
